created_at,id,id_string,hashtags,hashtag_count,favorited,favorite_count,retweeted,retweet_count,user_name,user_screen_name,user_id,user_id_string,user_friends_count,hashtag_list,stitchfix_boolean,stelladot_boolean
Tue Aug 01 05:47:22 +0000 2017,892260447449174016,892260447449174016,"[{'indices': [73, 88], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 05:48:12 +0000 2017,892260654819794944,892260654819794944,"[{'indices': [82, 92], 'text': 'StitchFix'}, {'indices': [93, 112], 'text': 'StitchfixAffiliate'}]",2,False,1,False,0,AMOD-DOMA studio,AMOD_DOMA,694863186646933504,694863186646933504,3630,"StitchFix, StitchfixAffiliate",True,False
Tue Aug 01 06:08:13 +0000 2017,892265694624133120,892265694624133120,"[{'indices': [54, 69], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 06:27:00 +0000 2017,892270420854022145,892270420854022145,"[{'indices': [77, 92], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 06:27:16 +0000 2017,892270488638164992,892270488638164992,"[{'indices': [54, 69], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 06:27:17 +0000 2017,892270491406405634,892270491406405634,"[{'indices': [77, 92], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 06:47:22 +0000 2017,892275544695472128,892275544695472128,"[{'indices': [70, 85], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 06:57:16 +0000 2017,892278035784892416,892278035784892416,"[{'indices': [70, 85], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 07:07:05 +0000 2017,892280508436156416,892280508436156416,"[{'indices': [86, 101], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 07:12:16 +0000 2017,892281811665137666,892281811665137666,"[{'indices': [86, 101], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 07:26:24 +0000 2017,892285368724336640,892285368724336640,"[{'indices': [46, 61], 'text': 'stelladotstyle'}]",1,False,0,False,1,Lancscon_prop,Lancscon_prop,720976403001405441,720976403001405441,387,stelladotstyle,False,True
Tue Aug 01 07:26:35 +0000 2017,892285413716570112,892285413716570112,"[{'indices': [61, 76], 'text': 'stelladotstyle'}]",1,False,1,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 07:27:35 +0000 2017,892285664963768320,892285664963768320,"[{'indices': [61, 76], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 07:46:39 +0000 2017,892290467039236096,892290467039236096,"[{'indices': [68, 83], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 08:06:26 +0000 2017,892295443656388608,892295443656388608,"[{'indices': [84, 99], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 08:22:20 +0000 2017,892299445416714240,892299445416714240,"[{'indices': [68, 83], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 08:22:21 +0000 2017,892299447719407616,892299447719407616,"[{'indices': [84, 99], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
